NUMBERS:
1  2  3  4  5  6  7  
3  7  11  14  15  19  20  
1  2  6  10  16  18  19  
2  7  11  14  15  18  19  
1  2  3  4  5  6  19  
1  2  3  5  7  17  18  
1  5  5  8  11  12  13  
3  7  8  12  14  16  17  
3  6  8  9  10  11  16  
1  6  8  11  12  13  18  
6  6  8  12  14  16  17  
1  2  8  9  10  11  18  
4  5  10  11  12  13  19  
6  8  12  14  16  17  19  
7  10  11  12  14  15  19  
8  10  12  14  15  16  17  
3  5  6  9  10  11  13  
1  3  8  9  10  11  18  
7  10  11  14  15  19  20  
3  4  5  6  7  13  15  
1  8  9  10  11  12  15  
1  8  9  10  11  14  18  
1  2  8  9  10  11  19  
1  8  9  10  11  13  14  
1  2  3  4  5  6  9  
1  2  3  6  9  10  11  
2  3  6  9  10  16  19  
3  7  10  11  14  15  19  
2  6  10  11  16  17  19  
1  2  3  4  5  6  9  
3  6  7  9  10  11  15  
3  6  9  10  11  14  16  
7  8  12  14  15  16  17  
2  6  10  13  13  16  19  
1  2  3  4  5  11  13  
2  5  6  10  11  16  19  
1  5  6  8  9  10  11  
1  2  8  11  12  13  17  
1  2  3  4  5  14  16  
4  7  8  11  14  15  19  
1  2  3  4  5  8  13  
2  6  10  15  16  17  19  
1  7  8  9  10  11  15  
6  7  8  12  14  16  17  
1  4  6  8  9  10  11  
1  4  10  11  12  13  18  
2  3  5  6  7  10  15  
1  4  10  11  12  13  17  
1  2  3  12  17  18  19  
1  6  6  8  11  12  13  
1  8  9  10  11  13  18  
3  4  5  6  7  13  15  
1  6  8  9  10  11  16  
4  7  9  11  14  15  19  
3  5  6  7  14  15  17  
3  4  6  9  10  11  15  
3  6  8  9  10  11  15  
1  8  9  10  11  16  19  
2  3  6  9  10  11  19  
1  2  3  5  7  17  18  
1  3  7  11  14  15  19  
3  5  6  7  9  15  17  
4  10  11  12  13  19  19  
1  2  3  10  13  17  18  
1  8  11  12  13  17  19  
1  7  8  9  10  11  18  
4  6  10  11  12  13  19  
1  2  3  4  5  8  17  
1  8  9  10  11  14  14  
2  7  11  14  15  16  19  
1  2  3  6  11  17  18  
